"id","name","type","rarity","attunement","source","extra","description","price","subtype","weight","merchants"
5593,"All-Purpose Tool","Wondrous Item","uncommon",True,"Tasha's Cauldron of Everything",NULL,"This simple screwdriver can transform into a variety of tools; as an action, you can touch the item and transform it into any type of artisan's tool of your choice (see the ""Equipment"" chapter in the Player's Handbook for a list of artisan's tools). Whatever form the tool takes, you are proficient with it. While holding this tool, you gain a bonus to the spell attack rolls and the saving throw DCs of your artificer spells. The bonus is determined by the tool's rarity. As an action, you can focus on the tool to channel your creative forces. Choose a cantrip that you don't know from any class list. For 8 hours, you can cast that cantrip, and it counts as an artificer cantrip for you. Once this property is used, it can't be used again until the next dawn.","300",NULL,NULL,"concealer, general"
2202,"All-Purpose Tool +1","Wondrous Item","uncommon",True,"Tasha's Cauldron of Everything 119",NULL,"This simple screwdriver can transform into a variety of tools; as an action, you can touch the item and transform it into any type of artisan's tool of your choice (see the ""Equipment"" chapter in the Player's Handbook for a list of artisan's tools). Whatever form the tool takes, you are proficient with it. While holding this tool, you gain a bonus to the spell attack rolls and the saving throw DCs of your artificer spells. The bonus is determined by the tool's rarity.

As an action, you can focus on the tool to channel your creative forces. Choose a cantrip that you don't know from any class list. For 8 hours, you can cast that cantrip, and it counts as an artificer cantrip for you. Once this property is used, it can't be used again until the next dawn.","300",NULL,NULL,"concealer, general"
2555,"All-Purpose Tool +2","Wondrous Item","rare",True,"Tasha's Cauldron of Everything 119",NULL,"This simple screwdriver can transform into a variety of tools; as an action, you can touch the item and transform it into any type of artisan's tool of your choice (see the ""Equipment"" chapter in the Player's Handbook for a list of artisan's tools). Whatever form the tool takes, you are proficient with it. While holding this tool, you gain a bonus to the spell attack rolls and the saving throw DCs of your artificer spells. The bonus is determined by the tool's rarity.

As an action, you can focus on the tool to channel your creative forces. Choose a cantrip that you don't know from any class list. For 8 hours, you can cast that cantrip, and it counts as an artificer cantrip for you. Once this property is used, it can't be used again until the next dawn.","2500",NULL,NULL,"concealer, wizard"
2225,"All-Purpose Tool +3","Wondrous Item","very rare",True,"Tasha's Cauldron of Everything 119",NULL,"This simple screwdriver can transform into a variety of tools; as an action, you can touch the item and transform it into any type of artisan's tool of your choice (see the ""Equipment"" chapter in the Player's Handbook for a list of artisan's tools). Whatever form the tool takes, you are proficient with it. While holding this tool, you gain a bonus to the spell attack rolls and the saving throw DCs of your artificer spells. The bonus is determined by the tool's rarity.

As an action, you can focus on the tool to channel your creative forces. Choose a cantrip that you don't know from any class list. For 8 hours, you can cast that cantrip, and it counts as an artificer cantrip for you. Once this property is used, it can't be used again until the next dawn.","27000",NULL,NULL,"concealer, wizard"
3118,"All or Nothing Coin","Weapon","common",False,"Dungeon Master's Guide 150",NULL,"On a roll you would normally use a d20, flip a coin instead. Heads is a critical success (Natural 20), tails is a critical fail (Natural 1). Can be used once per short rest.","50","any amunition",NULL,"general, smith, weaponsmith"
3119,"Amethyst Lodestone","Weapon","very rare",True,"Dungeon Master's Guide 150",NULL,"This fist-sized chunk of amethyst is infused with an amethyst dragon’s ability to bend gravitational forces. While you are carrying the lodestone, you have advantage on Strength saving throws.

The lodestone has 6 charges for the following properties, which you can use while you are holding the stone. The stone regains 1d6 expended charges daily at dawn.

Flight. As a bonus action, you can expend 1 charge to gain the power of flight for 10 minutes. For the duration, you gain a flying speed equal to your walking speed, and you can hover.

Gravitational Thrust. As an action, you can expend 1 charge to focus gravity around a creature you can see within 60 feet of you. The target must succeed on a DC 18 Strength saving throw or be pushed up to 20 feet in a direction of your choice.

Reverse Gravity. As an action, you can expend 3 charges to cast Reverse Gravity from the stone (save DC 18).","27000","any amunition","1","concealer, smith, weaponsmith"
2248,"Ammunition +1","Weapon","uncommon",False,"Dungeon Master's Guide 150","any ammunition","You have a bonus to attack and damage rolls made with this piece of magic ammunition. The bonus is determined by the rarity of the ammunition. Once it hits a target, the ammunition is no longer magical.","25","any amunition",NULL,"general, smith, weaponsmith"
2644,"Ammunition +2","Weapon","rare",False,"Dungeon Master's Guide 150","any ammunition","You have a bonus to attack and damage rolls made with this piece of magic ammunition. The bonus is determined by the rarity of the ammunition. Once it hits a target, the ammunition is no longer magical.","100",NULL,NULL,"smith, weaponsmith"
2650,"Ammunition +3","Weapon","very rare",False,"Dungeon Master's Guide 150","any ammunition","You have a bonus to attack and damage rolls made with this piece of magic ammunition. The bonus is determined by the rarity of the ammunition. Once it hits a target, the ammunition is no longer magical.","400",NULL,NULL,"smith, weaponsmith"
2500,"Amulet of Health","Wondrous Item","rare",True,"Dungeon Master's Guide 150",NULL,"Your Constitution score is 19 while you wear this amulet. It has no effect on you if your Constitution is already 19 or higher. Amulet of Proof against Detection and Location Wondrous item, uncommon (requires attunement) While wearing this amulet, you are hidden from divination magic. You can't be targeted by such magic or perceived through magical scrying sensors.","8000",NULL,NULL,"jeweller, wizard"
2389,"Amulet of Proof Against Detection and Location","Wondrous Item","uncommon",True,"Dungeon Master's Guide 150",NULL,"While wearing this amulet, you are hidden from divination magic. You can't be targeted by such magic or perceived through magical scrying sensors.","20000","shield",NULL,"general, jeweller"
5758,"Amulet of Protection from Turning","Wondrous Item","rare",True,"Tales from the Yawning Portal",NULL,"While you wear this amulet of silver and turquoise, you have advantage on saving throws against effects that turn undead. If you fail a saving throw against such an effect, you can choose to succeed instead. You can do so three times, and expended uses recharge daily at dawn. Each time an effect that turns undead is used against you, the amulet glows with silvery blue light for a few seconds.","2500",NULL,NULL,"jeweller, wizard"
3125,"Amulet of the Black Skull","Wondrous Item","very rare",True,"Dungeon Master's Guide 151",NULL,"This amulet is carved from obsidian and shaped like a screaming humanoid skull, with ruby eyes and emeralds for teeth. It hangs from an iron chain necklace.

The amulet has 6 charges and regains 1d6 charges daily at dawn. While wearing the amulet, you can use an action to expend 1 of its charges to transport yourself and anything you are wearing or carrying to a location within 100 feet of you. The destination you choose doesn't need to be in your line of sight, but it must be familiar to you (in other words, a place you have seen or visited), and it must be on the same plane of existence as you. This effect isn't subject to the magic restrictions placed on the Tomb of the Nine Gods; thus, the amulet can be used to enter and exit the tomb.

If you aren't undead, you must make a DC 16 Constitution saving throw each time you use the amulet to teleport. On a failed saving throw, the black skull cackles as you are transformed in transit. The transformation takes effect as soon as you arrive at the destination, and is determined randomly by rolling percentile dice and consulting the Black Skull Transformation table.

d100	Transformation
01-20	The symbol of Acererak is burned into your flesh, a curse that can only be removed with a Remove Curse spell or similar magic. Until the curse ends, your hit points can't be restored by magic.
21-35	You grow larger as if affected by an Enlarge/Reduce spell, except the effect lasts for 1 hour.
36-50	You grow smaller as if affected by an Enlarge/Reduce spell, except the effect lasts for 1 hour.
51-70	You arrive at the destination wearing nothing but the Amulet of the Black Skull. Everything else that you were wearing or carrying appears in a random unoccupied space within 100 feet of you.
71-95	You are paralyzed for 1 minute or until this effect is ended with a Lesser Restoration spell or similar magic.
96-00	You become petrified. This effect ca","27000",NULL,"1","jeweller, wizard"
5595,"Amulet of the Devout","Wondrous Item","uncommon",True,"Tasha's Cauldron of Everything",NULL,"This amulet bears the symbol of a deity inlaid with precious stones or metals. While you wear the holy symbol, you gain a bonus to spell attack rolls and the saving throw DCs of your spells. The bonus is determined by the amulet's rarity. While you wear this amulet, you can use your Channel Divinity feature without expending one of the feature's uses. Once this property is used, it can't be used again until the next dawn.","300",NULL,NULL,"general, jeweller"
2207,"Amulet of the Devout +1","Wondrous Item","uncommon",True,"Tasha's Cauldron of Everything 119",NULL,"This amulet bears the symbol of a deity inlaid with precious stones or metals. While you wear the holy symbol, you gain a bonus to spell attack rolls and the saving throw DCs of your spells. The bonus is determined by the amulet's rarity.

While you wear this amulet, you can use your Channel Divinity feature without expending one of the feature's uses. Once this property is used, it can't be used again until the next dawn.","300",NULL,NULL,"general, jeweller"
2528,"Amulet of the Devout +2","Wondrous Item","rare",True,"Tasha's Cauldron of Everything 119",NULL,"This amulet bears the symbol of a deity inlaid with precious stones or metals. While you wear the holy symbol, you gain a bonus to spell attack rolls and the saving throw DCs of your spells. The bonus is determined by the amulet's rarity.

While you wear this amulet, you can use your Channel Divinity feature without expending one of the feature's uses. Once this property is used, it can't be used again until the next dawn.","2500",NULL,NULL,"jeweller, wizard"
2535,"Amulet of the Devout +3","Wondrous Item","very rare",True,"Tasha's Cauldron of Everything 119",NULL,"This amulet bears the symbol of a deity inlaid with precious stones or metals. While you wear the holy symbol, you gain a bonus to spell attack rolls and the saving throw DCs of your spells. The bonus is determined by the amulet's rarity.

While you wear this amulet, you can use your Channel Divinity feature without expending one of the feature's uses. Once this property is used, it can't be used again until the next dawn.","27000",NULL,NULL,"jeweller, wizard"
5596,"Amulet of the Drunkard","Wondrous Item","uncommon",False,"Explorer's Guide to Wildemount",NULL,"This amulet smells of old, ale-stained wood. While wearing it, you can regain 4d4 + 4 hit points when you drink a pint of beer, ale, mead, or wine. Once the amulet has restored hit points, it can't do so again until the next dawn.","300",NULL,NULL,"general, jeweller"
2361,"Amulet of the Planes","Wondrous Item","very rare",True,"Dungeon Master's Guide 150",NULL,"While wearing this amulet, you can use an action to name a location that you are familiar with on another plane of existence. Then make a DC 15 Intelligence check. On a successful check, you cast the plane shift spell. On a failure, you and each creature and object within 15 feet of you travel to a random destination. Roll a d100. On a 1-60, you travel to a random location on the plane you named. On a 61-100, you travel to a randomly determined plane of existence.","160000","light, medium or heavy",NULL,"jeweller, wizard"
2465,"Animated Shield","Armor","very rare",True,"Dungeon Master's Guide 151","shield","While holding this shield, you can speak its command word as a bonus action to cause it to animate. The shield leaps into the air and hovers in your space to protect you as if you were wielding it, leaving your hands free. The shield remains animated for 1 minute, until you use a bonus action to end this effect, or until you are incapacitated or die, at which point the shield falls to the ground or into your hand if you have one free.","6000","light, medium or heavy",NULL,"armorer, smith"
2264,"Apparatus of Kwalish","Wondrous Item","legendary",False,"Dungeon Master's Guide 151",NULL,"This item first appears to be a Large sealed iron barrel weighing 500 pounds. The barrel has a hidden catch, which can be found with a successful DC 20 Intelligence (Investigation) check. Releasing the catch unlocks a hatch at one end of the barrel, allowing two Medium or smaller creatures to crawl inside. Ten levers are set in a row at the far end, each in a neutral position, able to move either up or down. When certain levers are used, the apparatus transforms to resemble a giant lobster. The apparatus of Kwalish is a Large object with the following statistics: Armor Class: 20 Hit Points: 200 Speed: 30 ft., swim 30 ft., (or 0 ft. for both if the legs and tail aren't extended) Damage Immunities: poison, psychic Armor Class: 20 Hit Points: 200 Speed: 30 ft., swim 30 ft., (or 0 ft. for both if the legs and tail aren't extended) Damage Immunities: poison, psychic Armor Class: 20 Armor Class: 20 Armor Class: Hit Points: 200 Hit Points: 200 Hit Points: Speed: 30 ft., swim 30 ft., (or 0 ft. for both if the legs and tail aren't extended) Speed: 30 ft., swim 30 ft., (or 0 ft. for both if the legs and tail aren't extended) Speed: Damage Immunities: poison, psychic Damage Immunities: poison, psychic Damage Immunities: To be used as a vehicle, the apparatus requires one pilot. While the apparatus's hatch is closed, the compartment is airtight and watertight. The compartment holds enough air for 10 hours of breathing, divided by the number of breathing creatures inside. The apparatus floats on water. It can also go underwater to a depth of 900 feet. Below that, the vehicle takes 2d6 bludgeoning damage per minute from pressure. A creature in the compartment can use an action to move as many as two of the apparatus's levers up or down. After each use, a lever goes back to its neutral position. Each lever, from left to right, functions as shown in the Apparatus of Kwalish Levers table. Apparatus of Kwalish Levers Lever Up Down 1 Legs and tail extend, allowing the apparatus to walk and swim. Legs and tail retract, reducing the apparatus's speed to 0 and making it unable to benefit from bonuses to speed. 2 Forward window shutter opens. Forward window shutter closes. 3 Side window shutters open (two per side). Side window shutters close (two per side). 4 Two claws extend from the front sides of the apparatus. The claws retract. 5 Each extended claw makes the following melee weapon attack: +8 to hit, reach 5 ft., one target. Hit: 7 (2d6) bludgeoning damage. Each extended claw makes the following melee weapon attack: +8 to hit, reach 5 ft., one target. Hit: The target is grappled (escape DC 15). 6 The apparatus walks or swims forward. The apparatus walks or swims backward. 7 The apparatus turns 90 degrees left. The apparatus turns 90 degrees right. 8 Eyelike fixtures emit bright light in a 30-foot radius and dim light for an additional 30 feet. The light turns off. 9 The apparatus sinks as much as 20 feet in liquid. The apparatus rises up to 20 feet in liquid. 10 The rear hatch unseals and opens. The rear hatch closes and seals. Apparatus of Kwalish Levers Lever Up Down 1 Legs and tail extend, allowing the apparatus to walk and swim. Legs and tail retract, reducing the apparatus's speed to 0 and making it unable to benefit from bonuses to speed. 2 Forward window shutter opens. Forward window shutter closes. 3 Side window shutters open (two per side). Side window shutters close (two per side). 4 Two claws extend from the front sides of the apparatus. The claws retract. 5 Each extended claw makes the following melee weapon attack: +8 to hit, reach 5 ft., one target. Hit: 7 (2d6) bludgeoning damage. Each extended claw makes the following melee weapon attack: +8 to hit, reach 5 ft., one target. Hit: The target is grappled (escape DC 15). 6 The apparatus walks or swims forward. The apparatus walks or swims backward. 7 The apparatus turns 90 degrees left. The apparatus turns 90 degrees right. 8 Eyelike fixtures emit bright light in a 30-foot radius and dim light for an additional 30 feet. The light turns off. 9 The apparatus sinks as much as 20 feet in liquid. The apparatus rises up to 20 feet in liquid. 10 The rear hatch unseals and opens. The rear hatch closes and seals. Apparatus of Kwalish Levers Apparatus of Kwalish Levers Lever Up Down Lever Up Down 1 Legs and tail extend, allowing the apparatus to walk and swim. Legs and tail retract, reducing the apparatus's speed to 0 and making it unable to benefit from bonuses to speed. 1 Legs and tail extend, allowing the apparatus to walk and swim. Legs and tail retract, reducing the apparatus's speed to 0 and making it unable to benefit from bonuses to speed. 2 Forward window shutter opens. Forward window shutter closes. 2 Forward window shutter opens. Forward window shutter closes. 3 Side window shutters open (two per side). Side window shutters close (two per side). 3 Side window shutters open (two per side). Side window shutters close (two per side). 4 Two claws extend from the front sides of the apparatus. The claws retract. 4 Two claws extend from the front sides of the apparatus. The claws retract. 5 Each extended claw makes the following melee weapon attack: +8 to hit, reach 5 ft., one target. Hit: 7 (2d6) bludgeoning damage. Each extended claw makes the following melee weapon attack: +8 to hit, reach 5 ft., one target. Hit: The target is grappled (escape DC 15). 5 Each extended claw makes the following melee weapon attack: +8 to hit, reach 5 ft., one target. Hit: 7 (2d6) bludgeoning damage. Hit: Each extended claw makes the following melee weapon attack: +8 to hit, reach 5 ft., one target. Hit: The target is grappled (escape DC 15). Hit: 6 The apparatus walks or swims forward. The apparatus walks or swims backward. 6 The apparatus walks or swims forward. The apparatus walks or swims backward. 7 The apparatus turns 90 degrees left. The apparatus turns 90 degrees right. 7 The apparatus turns 90 degrees left. The apparatus turns 90 degrees right. 8 Eyelike fixtures emit bright light in a 30-foot radius and dim light for an additional 30 feet. The light turns off. 8 Eyelike fixtures emit bright light in a 30-foot radius and dim light for an additional 30 feet. The light turns off. 9 The apparatus sinks as much as 20 feet in liquid. The apparatus rises up to 20 feet in liquid. 9 The apparatus sinks as much as 20 feet in liquid. The apparatus rises up to 20 feet in liquid. 10 The rear hatch unseals and opens. The rear hatch closes and seals. 10 The rear hatch unseals and opens. The rear hatch closes and seals.","10000","light, medium or heavy",NULL,NULL
5961,"Arcane Cannon","Wondrous Item","very rare",False,"Explorer's Guide to Wildemount",NULL,"This Large cannon is imbued with magic. It requires no ammunition and doesn't need to be loaded. It takes one action to aim the cannon and one action to fire it. After the cannon has fired, it must recharge for 5 minutes before it can be fired again. The creature firing the cannon chooses the effect from the following options: Acid Jet. The cannon discharges acid in a line 300 feet long and 5 feet wide. Each creature in that line must make a DC 15 Dexterity saving throw, taking 22 (4d10) acid damage on a failed save, or half as much damage on a successful one. In addition, a creature that fails its saving throw takes 11 (2d10) acid damage at the start of each of its turns; a creature can end this damage by using its action to wash off the acid with a pint or more of water. Fire Jet. The cannon discharges fire in a line 300 feet long and 5 feet wide. Each creature in the area must make a DC 15 Dexterity saving throw, taking 33 (6d10) fire damage on a failed save, or half as much damage on a successful one. The fire ignites any flammable objects in the area that aren't being worn or carried. Frost Shot. The cannon shoots a ball of frost to a point you can see within 1,200 feet of the cannon. The ball then expands to form a 30-foot-radius sphere centered on that point. Each creature in that area must make a DC 15 Constitution saving throw. On a failed save, a creature takes 22 (4d10) cold damage, and its speed is reduced by 10 feet for 1 minute. On a successful save, the creature takes half as much damage, and its speed isn't reduced. A creature whose speed is reduced by this effect can repeat the save at the end of each of its turns, ending the effect on itself on a success. Lightning Shot. The cannon shoots a ball of lightning to a point you can see within 1,200 feet of the cannon. The lightning then expands to form a 20-foot-radius sphere centered on that point. Each creature in that area must make a DC 15 Dexterity saving throw, taking 33 (6dl0) lightning damage on a failed save, or half as much damage on a successful one. Creatures wearing metal armor have disadvantage on the save. Poison Spray. The cannon expels poison gas in a 60-foot cone. Each creature in that area must make a DC 15 Constitution saving throw. On a failed save, the creature takes 22 (4d10) poison damage and is poisoned for 1 minute. On a successful save, the creature takes half as much damage and isn't poisoned. A creature poisoned in this way can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success.","27000",NULL,NULL,"wizard"
2407,"Arcane Grimoire +1","Wondrous Item","uncommon",True,"Tasha's Cauldron of Everything 120","requires attunement by a wizard","While you are holding this leather-bound book, you can use it as a spellcasting focus for your wizard spells, and you gain a bonus to spell attack rolls and to the saving throw DCs of your wizard spells. The bonus is determined by the book's rarity.

You can use this book as a spellbook. In addition, when you use your Arcane Recovery feature, you can increase the number of spell slot levels you regain by 1.","300",NULL,NULL,"general, wizard"
2603,"Arcane Grimoire +2","Wondrous Item","rare",True,"Tasha's Cauldron of Everything 120","requires attunement by a wizard","While you are holding this leather-bound book, you can use it as a spellcasting focus for your wizard spells, and you gain a bonus to spell attack rolls and to the saving throw DCs of your wizard spells. The bonus is determined by the book's rarity.

You can use this book as a spellbook. In addition, when you use your Arcane Recovery feature, you can increase the number of spell slot levels you regain by 1.","2500",NULL,NULL,"wizard"
